availability_id,doctor_id,day_of_week,start_time,end_time
1,1,Monday,09:00,17:00
2,1,Wednesday,09:00,17:00
3,1,Friday,09:00,13:00
4,2,Tuesday,10:00,18:00
5,2,Thursday,10:00,18:00
6,3,Monday,08:00,14:00
7,3,Wednesday,08:00,14:00
8,3,Friday,08:00,14:00
9,4,Tuesday,09:00,16:00
10,4,Thursday,09:00,16:00
11,4,Saturday,09:00,12:00
12,5,Monday,13:00,19:00
13,5,Wednesday,13:00,19:00
14,6,Tuesday,09:00,15:00
15,7,Monday,00:00,23:59
16,7,Tuesday,00:00,23:59
17,7,Wednesday,00:00,23:59
18,7,Thursday,00:00,23:59
19,7,Friday,00:00,23:59
20,7,Saturday,00:00,23:59
21,7,Sunday,00:00,23:59
22,8,Tuesday,09:00,17:00
23,8,Thursday,09:00,17:00
24,9,Monday,10:00,16:00
25,9,Wednesday,10:00,16:00
26,10,Friday,09:00,15:00
