ID,Epic,Feature,User Story,Priority,FRD Reference,Status
US-001,Patient Management,Patient Record Management,"As a Front Desk Staff member, I want to create a patient record with a unique Patient ID, so that I can register new patients accurately.",Must Have,FR-001,Backlog
US-002,Patient Management,Patient Record Management,"As a Front Desk Staff member, I want to search for a patient by ID, name, or contact info, so that I can quickly find existing records.",Must Have,FR-002,Backlog
US-003,Patient Management,Patient Journey View,"As a Doctor, I want to view a patient's full journey in one screen, so that I can make informed care decisions.",Must Have,FR-003,Backlog
US-004,Appointment Lifecycle Management,Appointment Creation & Status,"As a Front Desk Staff member, I want to create an appointment with patient, doctor, department, date/time, and type, so that visits are scheduled correctly.",Must Have,FR-007,Backlog
US-005,Appointment Lifecycle Management,Appointment Creation & Status,"As a system, I want to support appointment statuses, so that appointment progress is trackable.",Must Have,FR-008,Backlog
US-006,Appointment Lifecycle Management,Appointment Creation & Status,"As a Front Desk Staff member, I want to update appointment details before the visit occurs, so that changes are reflected accurately.",Must Have,FR-009,Backlog
US-007,Appointment Lifecycle Management,Confirmation & Reminders,"As a Front Desk Staff member, I want to record whether a patient confirmed their appointment, so that attendance can be anticipated.",Must Have,FR-010,Backlog
US-008,Appointment Lifecycle Management,Confirmation & Reminders,"As a system, I want to generate and track appointment reminders, so that no-show risk is reduced.",Should Have,"FR-011,FR-012",Backlog
US-009,Appointment Lifecycle Management,Cancellations & No-shows,"As a Front Desk Staff member, I want to cancel an appointment and record a standardized reason, so that cancellation patterns can be analyzed.",Must Have,"FR-013,FR-014",Backlog
US-010,Appointment Lifecycle Management,Cancellations & No-shows,"As a Front Desk Staff member, I want to mark an appointment as a no-show and capture the reason, so that no-show patterns can be tracked.",Must Have,"FR-015,FR-016,FR-017",Backlog
US-011,Appointment Lifecycle Management,Rescheduling,"As a Front Desk Staff member, I want to reschedule an appointment while preserving a link to the original, so that history isn't lost.",Must Have,"FR-018,FR-019",Backlog
US-012,Consultation & Procedure Management,Consultation Recording,"As a Doctor, I want to record that a consultation occurred and its outcome, so that next steps are documented.",Must Have,"FR-020,FR-021",Backlog
US-013,Consultation & Procedure Management,Procedure Tracking,"As a Doctor, I want to recommend a procedure and record the patient's decision, so that procedure uptake can be measured.",Must Have,"FR-022,FR-023",Backlog
US-014,Consultation & Procedure Management,Procedure Tracking,"As a Front Desk Staff member, I want to schedule an accepted procedure and track its status, so that completion can be monitored.",Must Have,"FR-024,FR-025",Backlog
US-015,Consultation & Procedure Management,Procedure Tracking,"As a Front Desk Staff member, I want to capture the reason a procedure wasn't completed, so that drop-off causes are visible.",Must Have,FR-026,Backlog
US-016,Follow-up Management,Follow-up Scheduling & Tracking,"As a Doctor, I want to indicate whether follow-up is required, so that continuity of care is planned.",Must Have,FR-027,Backlog
US-017,Follow-up Management,Follow-up Scheduling & Tracking,"As a Front Desk Staff member, I want to create and track a follow-up appointment linked to the originating care event, so that follow-up compliance is measurable.",Must Have,"FR-028,FR-029,FR-030",Backlog
US-018,Follow-up Management,Follow-up Scheduling & Tracking,"As a Front Desk Staff member, I want to capture the reason a patient missed a follow-up, so that patterns can be identified.",Should Have,FR-031,Backlog
US-019,Patient Feedback,Feedback Capture,"As a Patient Experience Team member, I want to record patient feedback, so that experience quality is measurable.",Should Have,FR-032,Backlog
US-020,Patient Feedback,Feedback Capture,"As a BI/Analytics User, I want feedback linked to the relevant appointment, procedure, or follow-up, so that experience data connects to outcomes.",Should Have,FR-033,Backlog
US-021,Retention & Drop-off Analytics,Drop-off Identification,"As Hospital Management, I want the system to identify appointment drop-offs, so that at-risk patients are flagged.",Must Have,FR-034,Backlog
US-022,Retention & Drop-off Analytics,Drop-off Identification,"As Hospital Management, I want to identify procedure and follow-up drop-offs, so that gaps in care completion are visible.",Must Have,"FR-035,FR-036",Backlog
US-023,Retention & Drop-off Analytics,Drop-off Identification,"As a BI/Analytics User, I want to identify patients with repeated drop-off events, so that intervention can be targeted.",Should Have,FR-037,Backlog
US-024,KPIs Performance & Dashboards,Core KPI Calculation,"As Hospital Management, I want to see attendance, no-show, and cancellation rates, so that operational performance is visible.",Must Have,"FR-038,FR-039,FR-040",Backlog
US-025,KPIs Performance & Dashboards,Core KPI Calculation,"As Hospital Management, I want procedure completion and follow-up compliance rates, so that care continuity is measurable.",Must Have,"FR-041,FR-042",Backlog
US-026,KPIs Performance & Dashboards,Core KPI Calculation,"As Hospital Management, I want an overall patient retention rate, so that retention trends are trackable.",Must Have,FR-043,Backlog
US-027,KPIs Performance & Dashboards,Performance Metrics,"As a Department Head, I want doctor- and department-level performance metrics, so that I can review team performance fairly.",Should Have,"FR-044,FR-045",Backlog
US-028,KPIs Performance & Dashboards,Management Dashboard,"As Hospital Management, I want a management dashboard with key KPIs, filterable by date/department/doctor/status, so that I can monitor performance at a glance.",Must Have,"FR-046,FR-047",Backlog
US-029,KPIs Performance & Dashboards,Management Dashboard,"As Hospital Management, I want a drop-off dashboard showing where patients disengage across the journey, so that improvement efforts are targeted.",Must Have,FR-048,Backlog
